;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
68;Guatemala;18687881;107160;174;56.4;75.462;56.1;30.7;21;56;20.34;74.3;69.8;46.5;74.3;30.6;10.8;0;6;4192;GTM;2022;17847877;1.46225E+11;1.31;0.073;19.114;-0.691;-3.491;46.011;0.136;0.296;2.578;0.315;1.084519033;1.071;0.131;0.230389568;2.582;0.145;36.851;480.206;4331.879;51.765;0.926;4545.108843;4024.855;390.226;24751.67803;1.767313535;0.098;0.005;177.0031629;1.832210367;1.833;3.438;26.898;1.507;19.76;1.107;4.957;0.278;15.123;0.847;2662.128098;0.082;0.051;0.113;0.017;0.079;0.027;0.168;0.006;0.005;3.731023326;0.493;0.063;0.024;3.860033117;0.76;0.127;0.166;0.001;0.002;0.003;0;61.361;32.711
69;Guinea;15099727;245720;61;30.2;63.216;58.2;58.5;38;92;4.84;49.7;50.6;32.7;49.7;30.8;3.2;0.5;2;4246;GIN;2022;14055137;23678257152;0;0;4.194;0.068;1.656;18.96;2.908;18.119;1.349;0.801;1.084519033;0.298;0.177;0.230389568;305.6257623;1.48792303;0;96.708;1550.062;17052.4864;0;4545.108843;4573.125;96.491;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.761;3.542;14.766;1.051;21.413;1.523;6.961;0.495;4.194;0.298;2662.128098;0;0.011;0.046;3.077753354;0;0.005;0.06;3.313702;0;3.731023326;0.561;0.016;0;3.860033117;0.417;0.035;0.139;0.001;0.001;0.002;0;49.777;10.695
70;Guinea-Bissau;2249515;28120;80;34.2;59.96;66;46.8;35;24;0.37;45.9;52.5;32.5;45.9;29.2;1.3;0.1;4;4300;GNB;2022;2105537;3259313920;0;0;0.309;0.005;1.656;0.747;0.075;11.097;0.355;0.229;1.084519033;0.147;0.095;0.230389568;305.6257623;1.48792303;0;10.748;180.292;17052.4864;0;4545.108843;267.471;10.748;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.697;2.352;0.437;0.208;2.269;1.078;0.813;0.386;0.309;0.147;2662.128098;0;0.001;0.002;3.077753354;0;0.001;0.007;3.313702;0;3.731023326;0.033;0.002;0;3.860033117;0.012;0.003;0.012;0;0;0;0;4.951;1.468
71;Guyana;835986;196850;4;64.8;70.48;0;30.7;11;96;3.08;58.1;59.3;27.3;58.1;51.4;100;2;9;4354;GUY;2022;821636;5.28502E+11;0.158;0.192;3.627;0.046;1.282;6.909;-0.193;-2.716;8.409;0.937101354;1.084519033;4.415;0.389399806;0.230389568;0.003;0.003;1.152;109.275;598.293;0.131;1.082;0.019;863.178;106.891;24751.67803;1.767313535;0.307;0.374;0.008;0.01;5.216;13.634;3.282;3.995;1.912;2.328;0.581;0.707;3.152;3.836;2662.128098;0.01;0.01;0.017;0;0.002;0.006;0.023;0;0.006;0;0.106;0.017;0.076;0;0.093;0.026;0.033;0;0;0.001;0;11.202;4.286
72;Haiti;11906095;27560;432;43.3;65.506;54.5;30.7;10;67;2.86;39.6;53;48.5;39.6;24.5;1.9;0;6;4408;HTI;2022;11503604;17550917632;0.116;0.01;3.381;-0.103;-2.945;-1.294;-1.018;369.953;-0.112;-0.074;1.084519033;0.294;0.193;0.230389568;305.6257623;1.48792303;4.678;83.6;816.857;17052.4864;0;4545.108843;777.768;77.684;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.928;1.198;-4.675;-0.406;10.189;0.886;1.683;0.146;3.265;0.284;2662.128098;0.007;0.009;-0.003;3.077753354;0.01;0.005;0.032;3.313702;0;3.731023326;0.095;0.013;0;3.860033117;-0.132;0.027;0.046;0;0;0.001;0;13.784;10.679
73;Holy See;501;0;1253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Honduras;11005850;111890;98;58.7;76.214;55.3;35.2;19;65;10.88;65.8;44.3;43.6;65.8;28.1;5.9;0;7;4516;HND;2022;10463881;49738256384;0.702;0.067;10.482;0.294;2.882;24.718;0.804;3.364;2.362;0.497;1.084519033;1.002;0.211;0.230389568;305.6257623;1.48792303;21.658;281.925;3488.592;17052.4864;0;4545.108843;3336.398;254.404;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.525;3.133;14.236;1.361;10.011;0.957;2.721;0.26;9.78;0.935;2662.128098;0.044;0.028;0.061;3.077753354;0.046;0.016;0.135;3.313702;0;3.731023326;0.409;0.041;0;3.860033117;0.402;0.082;0.108;0;0.001;0.002;0;32.787;15.958
75;Hungary;9632287;90530;106;83.8;77.59;56.7;88.3;14;100;10.88;92.2;85.4;23.9;92.2;55.7;31.2;8.2;12;4624;HUN;2022;9684306;2.85385E+11;0.815;0.084;44.843;-3.488;-7.218;33.732;-4.668;-12.157;3.483;0.118;0.126;4.63;0.157;0.168;5.545;0.573;91.547;5114.62;5713.295;2623.108;15.823;1056.195;616.605;1297.375;26789.283;0.936;0.135;0.014;18.851;1.947;5.575;5.614;-11.11;-1.147;9.645;0.996;7.603;0.785;19.115;1.974;267.017;0.051;0.12;0.083;0.037;0.196;0.288;0.221;0.32;0.082;0.403;0.076;0.211;0.033;0.239;-0.314;0.161;0.186;0;0.002;0.003;0;54.371;53.986
76;Iceland;398266;100250;4;96.3;83.808;62.5;85;6;100;3.37;81.7;93.1;12.7;81.7;88.3;46.1;62.6;14;4678;ISL;2022;380368;16019539968;0;0;3.613;0.105;2.991;3.952;0.115;2.997;10.39;0.247;0.062;9.499;0.226;0.057;0.618;1.625;2.751;164.423;267.11;23.77;4.444;0.011;206.3;133.247;170914.562;3.979;0.186;0.489;0.001;0.003;10.411;12.883;0.339;0.891;0.602;1.583;0.361;0.95;2.802;7.366;63.735;0;0.01;0.01;0.004;0.006;0.009;0.01;0.003;0.023;0;0.025;0.022;0.046;0;0.01;0.024;0.011;0;0;0;0;4.9;3.96
77;India;1463865525;2973190;492;51.3;70.824;42.8;21.9;50;91;2709.67;73.6;71;27.1;73.6;46.5;8.1;1.9;7;4732;IND;2022;1425423212;1.04762E+13;164.323;0.115;2831.166;156.944;5.869;2823.01;135.966;5.06;1.98;0.269;0.279;1.986;0.27;0.28;1855.854;1.302;2788.681;59807.703;99125.711;38571.949;172.389;2767.667;42011.125;15507.016;7129.11;0.964;2.924;0.002;124.009;0.087;2.29;2.773;-8.156;-0.006;933.884;0.655;283.756;0.199;684.057;0.48;10103.183;10.263;7.592;6.913;12.221;5.959;3.37;3.833;4.703;0.889;1.056;5.149;2.517;0.725;1.571;-0.23;5.744;4.726;0.034;0.037;0.078;0.006;3953.229;3264.843
78;Indonesia;285721236;1811570;158;65.6;72.672;64.7;66.2;19;30;619.29;81.4;73.8;23;81.4;48.9;12.3;2.1;9;4786;IDN;2022;278830529;3.50009E+12;26.843;0.096;737.073;117.45;18.955;1193.859;138.159;13.087;4.282;0.341;0.428;2.643;0.211;0.264;404.573;1.451;710.29;15729.126;84869.445;4444.421;422.922;2617.361;78160.555;7534.131;10132.153;0.798;3.163;0.011;85.931;0.308;3.883;6.517;456.786;1.638;429.364;1.54;74.573;0.267;216.563;0.777;2791.422;1.676;1.976;2.924;2.664;1.518;0.886;3.282;0.542;2.182;0.998;9.58;1.223;0.785;1.089;12.9;1.818;3.427;0.014;0.041;0.056;0.001;1817.063;1082.793
79;Iran;92417681;1628550;57;0;77.698;0;0;0;0;0;0;0;0;0;0;0;0;0;4840;IRN;2022;89524247;1.57221E+12;34.704;0.388;800.747;20.991;2.692;819.163;24.524;3.086;9.15;0.521;0.236;8.944;0.509;0.231;5.348;0.06;782.527;20305.832;21904.975;223.888;1660.323;8017.583;2392.281;9621.511;39151.336;2.205;32.375;0.362;496.507;5.546;11.273;11.779;18.417;0.206;214.788;2.399;30.039;0.336;231.813;2.589;3466.873;2.167;2.147;2.006;0.035;1.672;1.144;0.847;0.027;8.565;3.058;0.293;1.562;8.033;6.291;0.52;1.946;1.148;0.008;0.01;0.019;0.001;1054.494;1009.187
80;Iraq;47020774;434320;108;0;71.348;0;0;0;0;0;0;0;0;0;0;0;0;0;4894;IRQ;2022;44070556;5.27639E+11;10.129;0.23;171.279;12.234;7.692;173.377;12.526;7.787;3.934;0.329;0.261;3.886;0.325;0.258;0.006;0;164.237;4780.75;5273.335;0.197;878.832;487.186;649.853;3250.298;14914.604;1.258;33.657;0.764;40.409;0.917;7.569;7.789;2.098;0.048;163.119;3.701;7.201;0.163;87.078;1.976;663.642;0.633;0.459;0.425;0;0.351;0.269;0.204;0;4.534;0.186;0.08;0.528;8.351;0.512;0.059;0.731;0.459;0.005;0.002;0.008;0;343.264;333.586
81;Ireland;5308039;68890;77;89.5;83.118;58.3;84.2;8;96;37.56;89.4;95.7;11.1;89.4;90.8;81.4;32.8;12;4948;IRL;2022;5110013;3.08391E+11;1.957;0.383;36.711;-0.833;-2.218;36.791;-1.224;-3.22;7.2;0.119;0.198;7.184;0.119;0.197;4.036;0.79;75.773;2300.002;2434.915;886.667;0.103;315.469;169.552;1003.275;37022.301;0.603;0;0;10.745;2.103;7.619;11.719;0.08;0.016;17.333;3.392;9.12;1.785;19.237;3.765;185.967;0.122;0.098;0.09;0.027;0.162;0.13;0.094;0.108;0.001;0.12;0.021;0.163;0;0.136;0.002;0.162;0.06;-0.001;0.001;0.001;0;59.882;38.933
82;Israel;9517181;21640;440;94.7;83.774;59.1;43.4;20;100;54.52;87.9;88.7;17.2;87.9;66.9;36.9;27.1;13;5002;ISR;2022;9103144;3.36723E+11;1.728;0.19;60.946;1.938;3.285;62.265;2.259;3.765;6.84;0.185;0.202;6.695;0.181;0.197;14.075;1.546;87.705;2497.929;2540.25;814.673;0.026;232.279;42.246;1363.247;34148.941;0.917;0.018;0.002;23.891;2.624;8.578;8.944;1.319;0.145;16.343;1.795;2.813;0.309;21.236;2.333;308.649;0.108;0.163;0.152;0.093;0.187;0.141;0.098;0.099;0;0.089;0.005;0.221;0.004;0.303;0.037;0.178;0.107;0.001;0.001;0.002;0;81.421;78.09
83;Italy;59146260;294140;201;88;84.26;43.7;72.4;14;93;328.7;93.6;89;21.1;93.6;68;39.4;34.1;11;5056;ITA;2022;59619106;2.13601E+12;7.919;0.133;340.672;4.694;1.397;310.175;5.718;1.878;5.203;0.145;0.181;5.714;0.159;0.198;31.376;0.526;957.895;25391.838;25007.275;4765.293;98.168;5645.893;-110.885;13777.982;29104.418;0.804;2.549;0.043;137.601;2.308;6.151;6.533;-30.497;-0.512;43.966;0.737;15.947;0.267;157.949;2.649;1718.251;0.495;0.913;0.76;0.207;2.047;1.431;0.967;0.581;0.506;2.153;-0.014;2.236;0.633;1.743;-0.861;1.326;0.876;0.002;0.011;0.014;0.001;389.478;366.731
84;Jamaica;2837077;10830;262;71.1;75.12;57.2;30.7;15;91;7.69;67.4;59.5;30.7;67.4;62.4;8.5;3.2;9;5110;JAM;2022;2839151;20019224576;0.393;0.138;7.137;-0.209;-2.841;6.739;-0.221;-3.169;2.374;0.337;1.084519033;2.514;0.356;0.230389568;0.323;0.114;15.273;468.293;636.795;6.775;0;5.161;365.388;441.084;24751.67803;1.767313535;0;0;1.376;0.485;2.805;2.776;-0.398;-0.14;1.065;0.375;0.372;0.131;5.044;1.777;2662.128098;0.025;0.019;0.017;0.002;0.033;0.026;0.025;0.001;0;0.002;0.045;0.072;0;0.017;-0.011;0.042;0.024;0;0;0;0;7.881;7.964
85;Japan;123103479;364555;338;97.3;85.266;60.2;51.6;11;99;1067.4;90.9;94.2;10.3;90.9;80.8;31.4;33.3;13;5164;JPN;2022;124997586;4.77449E+12;23.157;0.185;1032.687;-29.218;-2.752;1034.632;-29.799;-2.8;8.277;0.217;0.207;8.262;0.216;0.206;417.193;3.338;2063.248;67775.742;73098.148;24621.906;16.026;7206.197;5599.703;33569.383;40377.672;1.048;0.351;0.003;199.73;1.598;8.487;8.607;1.945;0.016;30.554;0.244;19.734;0.158;384.784;3.078;5004.881;1.446;2.769;2.534;2.747;4.409;3.819;2.827;3.002;0.083;2.749;0.686;5.449;0.087;2.531;0.055;3.231;2.115;0.002;0.032;0.035;0.001;1075.8;1060.885
86;Jordan;11520684;88780;130;78.5;75.278;30.8;42.1;26;86;25.61;78.1;77.6;14.9;78.1;41.9;6.7;3.7;10;5218;JOR;2022;11256268;99281829888;1.299;0.115;20.255;-0.384;-1.861;20.383;-0.429;-2.063;1.811;0.205;1.084519033;1.799;0.204;0.230389568;0.942;0.084;55.19;737.161;795.041;8.409;0.013;100.085;79.016;573.465;24751.67803;1.767313535;0;0;5.854;0.52;2.424;2.518;0.129;0.011;6.771;0.602;1.556;0.138;12.159;1.08;2662.128098;0.081;0.054;0.05;0.006;0.118;0.042;0.031;0.001;0;0.038;0.01;0.093;0;0.074;0.004;0.102;0.036;0;0;0.001;0;28.346;27.287
87;Kazakhstan;20843754;2699700;8;78.9;74.158;65.7;58.6;27;89;276.67;79.8;63.8;36.3;79.8;29.6;29.8;6.6;12;5272;KAZ;2022;20034612;5.03634E+11;3.841;0.192;254.414;-0.729;-0.286;246.719;-0.877;-0.354;12.315;0.49;0.301;12.699;0.505;0.311;149.123;7.443;128.933;14202.512;18334.141;9528.022;363.527;1255.158;4263.917;2828.094;42235.43;1.627;11.511;0.575;36.438;1.819;14.866;17.09;-7.695;-0.384;61.478;3.069;12.918;0.645;48.716;2.432;819.283;0.24;0.682;0.604;0.982;0.276;0.8;0.709;1.162;1.875;0.479;0.523;0.459;2.856;0.462;-0.217;0.409;0.834;0.003;0.01;0.014;0;342.387;297.834
88;Kenya;57532493;569140;101;39.3;67.926;69;41.3;13;62;19.86;70.6;70;34;70.6;40.3;4.8;1.4;7;5326;KEN;2022;54252456;1.90362E+11;4.885;0.09;21.397;-0.917;-4.109;30.04;-2.228;-6.905;0.554;0.158;1.084519033;0.394;0.112;0.230389568;2.779;0.051;71.142;528.498;3015.854;31.702;0;4545.108843;3388.857;425.654;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.903;1.972;8.642;0.159;63.099;1.163;20.738;0.382;13.733;0.253;2662.128098;0.305;0.057;0.074;0.018;0.152;0.03;0.117;0.004;0;3.731023326;0.415;0.069;0;3.860033117;0.244;0.115;0.222;0.002;0.001;0.004;0;106.963;49
89;Kiribati;136488;810;169;0;69.582;0;0;0;0;0;0;0;0;0;0;0;0;0;5380;KIR;2022;130481;5.28502E+11;0;0;0.068;0.002;2.394;0.068;0.002;2.394;0.518;0.937101354;1.084519033;0.518;0.389399806;0.230389568;305.6257623;1.48792303;0;2.145;2.145;17052.4864;0;4545.108843;0;2.145;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.746;0.82;0;0;0.033;0.25;0.007;0.053;0.068;0.518;2662.128098;0;0;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0;0;3.860033117;0;0.001;0;0;0;0;0;0.107;0.097
90;Kuwait;5026078;17820;282;74.3;76.066;67.9;31.6;64;100;106.15;62.4;60;18.6;62.4;43.3;37.4;23.8;7;5434;KWT;2022;4589514;2.18961E+11;1.222;0.266;97.461;2.33;2.45;97.469;2.331;2.45;21.237;0.445;0.225;21.235;0.445;0.225;0.337;0.073;32.617;3639.742;3639.648;6.258;351.68;1132.567;-1.707;2115.182;101291.062;1.975;1.094;0.238;59.306;12.922;30.254;30.379;0.009;0.002;40.831;8.897;1.13;0.246;35.501;7.735;432.4;0.076;0.261;0.239;0.002;0.07;0.205;0.141;0.001;1.814;0.432;0;0.343;0.272;0.751;0;0.298;0.2;0.002;0.002;0.003;0;139.424;138.851
91;Kyrgyzstan;7295034;191800;38;76.3;0;51.4;85;38;77;9.31;76.8;63.3;30.9;76.8;22.1;4.5;0.9;11;5488;KGZ;2022;6955792;31703001088;1.171;0.168;10.032;-0.295;-2.853;9.76;-0.319;-3.168;1.403;0.308;1.084519033;1.442;0.316;0.230389568;3.791;0.545;34.282;858.6;1228.727;413.831;5.557;88.195;379.967;316.735;24751.67803;1.767313535;0;0;0.725;0.104;1.999;2.983;-0.272;-0.039;8.009;1.151;1.958;0.282;4.346;0.625;2662.128098;0.073;0.027;0.024;0.025;0.073;0.048;0.048;0.05;0.029;0.034;0.047;0.051;0;0.009;-0.008;0.036;0.057;0;0.001;0.001;0;20.752;13.903
92;Laos;7873046;230800;34;53.9;68;75.5;53.6;21;18;20.77;60.9;55;22.9;60.9;20.5;6.8;0.6;5;5542;LAO;2022;7559007;54953902080;5.5;0.728;23.436;0.635;2.785;29.917;-1.747;-5.516;3.958;0.544;1.084519033;3.1;0.426;0.230389568;14.579;1.929;25.791;198.752;2311.588;110.163;0;4545.108843;3045.654;62.798;24751.67803;1.767313535;0;0;177.0031629;1.832210367;3.601;6.346;6.481;0.857;12.021;1.59;3.22;0.426;3.358;0.444;2662.128098;0.343;0.063;0.073;0.096;0.055;0.011;0.089;0.013;0;3.731023326;0.373;0.01;0;3.860033117;0.183;0.028;0.096;0;0.001;0.002;0;47.969;27.218
93;Latvia;1853559;62200;30;85.6;76.006;55.5;72.4;12;97;7.25;91.4;90.8;20.7;91.4;79;28.7;14;13;5596;LVA;2022;1881058;51248480256;0.54;0.287;6.62;-0.618;-8.543;8.628;-0.405;-4.479;4.587;0.168;0.224;3.519;0.129;0.172;0.055;0.029;17.099;967.19;1832.967;152.453;1.558;159.077;934.081;634.761;20789.912;0.751;0;0;1.593;0.847;4.287;7.632;2.008;1.067;2.242;1.192;2.271;1.208;4.346;2.311;38.475;0.034;0.018;0.021;0;0.037;0.055;0.071;0.019;0.008;0.061;0.114;0.103;0;0.02;0.057;0.036;0.056;0;0.001;0.001;0;14.356;8.064
94;Lebanon;5849421;10230;572;74.4;79.566;36.3;28.7;24;48;24.95;58.2;70;30.3;58.2;24.1;8.4;11.7;9;5650;LBN;2022;5744494;48741707776;0.788;0.137;18.922;-0.369;-1.912;19.021;-0.365;-1.885;3.311;0.39;1.084519033;3.294;0.388;0.230389568;0.843;0.147;70.5;767.891;778.841;16.821;0;4545.108843;18.698;679.991;24751.67803;1.767313535;0;0;177.0031629;1.832210367;4.148;4.326;0.098;0.017;4.502;0.784;1.113;0.194;17.291;3.01;2662.128098;0.049;0.051;0.047;0.006;0.151;0.043;0.03;0.002;0;3.731023326;0.002;0.11;0;3.860033117;0.003;0.145;0.032;0;0;0.001;0;24.852;23.826
95;Lesotho;2363325;30360;78;33.3;56.454;47.9;39.4;18;28;2.27;58;67;30.1;58;44.2;1.6;0.1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Liberia;5731206;96320;60;31.1;65.496;71.7;53.9;36;75;1.21;65.1;57.5;40.3;65.1;42.9;0.8;0.5;5;5704;LBR;2022;5373296;4231560960;0.207;0.039;0.792;0.01;1.217;21.839;0.605;2.848;4.064;5.161;1.084519033;0.147;0.187;0.230389568;305.6257623;1.48792303;2.839;50.759;875.046;17052.4864;0;4545.108843;1532.139;47.92;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.77;4.35;21.047;3.917;3.239;0.603;0.588;0.109;0.585;0.109;2662.128098;0.013;0.002;0.053;3.077753354;0.006;0.003;0.034;3.313702;0;3.731023326;0.188;0.008;0;3.860033117;0.594;0.005;0.042;0;0.001;0.001;0;23.375;4.14
97;Libya;7458555;1759540;4;68.2;73.732;0;51.8;30;100;74.53;33.1;44.8;32.1;33.1;9.6;14.6;1.6;8;5758;LBY;2022;7223804;91444477952;1.589;0.22;57.546;1.005;1.778;57.282;1.022;1.817;7.93;0.626;1.084519033;7.966;0.629;0.230389568;305.6257623;1.48792303;72.114;2371.853;2433.363;17052.4864;496.042;508.56;117.094;1294.01;24751.67803;1.767313535;10.191;1.411;12.769;1.768;12.696;13.028;-0.264;-0.037;35.189;4.871;1.927;0.267;32.998;4.568;2662.128098;0.099;0.154;0.14;3.077753354;0.154;0.134;0.094;3.313702;2.559;0.194;0.014;0.21;2.529;0.162;-0.007;0.277;0.165;0.002;0.001;0.003;0;94.108;91.711
98;Liechtenstein;40128;160;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5812;LIE;2022;39336;5.28502E+11;0;0;0.153;0.007;5.098;0.138;0.008;5.838;3.512;0.937101354;1.084519033;3.898;0.389399806;0.230389568;0;0;0;9.725;9.17;0.001;0;1.807;-0.353;7.917;24751.67803;1.767313535;0;0;0.058;1.478;4.208;4.291;-0.015;-0.386;0.027;0.675;0.009;0.23;0.095;2.42;2662.128098;0;0;0;0;0;0.001;0;0;0;0.001;0;0.001;0;0.001;0;0.001;0;0;0;0;0;0.169;0.166
99;Lithuania;2830144;62674;45;86.4;76.73;57.2;70.5;10;95;13.89;91.5;91.4;20.9;91.5;82;35.6;9.8;14;5866;LTU;2022;2816922;84814258176;0.682;0.242;12.857;-0.994;-7.179;11.622;-0.681;-5.537;4.126;0.137;0.179;4.564;0.152;0.198;0.743;0.264;48.366;1585.396;2865.436;186.404;12.729;293.05;1416.432;1041.247;23659.957;0.767;0.238;0.084;2.765;0.982;5.576;8.288;-1.235;-0.438;2.693;0.956;5.66;2.009;8.358;2.967;65.066;0.043;0.034;0.028;0.005;0.103;0.089;0.111;0.023;0.066;0.112;0.174;0.169;0.059;0.035;-0.035;0.07;0.103;0;0.001;0.002;0;23.346;15.708
100;Luxembourg;680453;2590;263;94.1;83.088;58.8;74.9;9;100;8.35;88.9;96.3;9.3;88.9;91.7;91.5;83.2;13;6028;LUX;2022;653316;36128358400;0.369;0.565;7.277;-1.144;-13.584;7.413;-1.146;-13.389;11.347;0.205;0.191;11.138;0.201;0.188;0.237;0.362;20.584;769.023;760.485;358.488;0.002;76.483;4.323;311.326;59857.266;1.073;0;0;1.249;1.912;11.447;12.533;0.136;0.208;0.549;0.841;0.3;0.46;5.41;8.28;38.764;0.023;0.02;0.018;0.002;0.044;0.043;0.029;0.044;0;0.029;0.001;0.051;0;0.016;0.004;0.045;0.023;0;0;0;0;8.188;7.479
101;Madagascar;32740678;581795;56;20.5;68.806;82.3;36.6;16;22;4.25;53.4;49.3;39.3;53.4;39.2;1;0.1;5;6136;MDG;2022;30437263;38602186752;0.058;0.002;4.309;-0.145;-3.265;30.225;0.618;2.087;0.993;0.783;1.084519033;0.142;0.112;0.230389568;1.552;0.051;2.325;105.244;5833.271;16.375;0;4545.108843;8832.891;86.544;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.502;1.875;25.915;0.851;27.177;0.893;6.794;0.223;2.699;0.089;2662.128098;0.004;0.012;0.074;0.01;0.005;0.006;0.226;0.002;0;3.731023326;1.083;0.014;0;3.860033117;0.732;0.023;0.274;0.001;0.003;0.004;0;57.083;15.291
102;Malawi;22216120;94280;236;19.4;66.372;70.3;42;19;18;1.54;65.6;72.4;32.1;65.6;51.9;0.6;0.1;5;6190;MWI;2022;20568731;26465351680;0.31;0.015;1.748;-0.136;-7.242;11.739;-0.168;-1.412;0.571;0.444;1.084519033;0.085;0.066;0.230389568;0.093;0.004;3.584;54.135;1284.66;12.458;0;4545.108843;1763.228;38.093;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.374;1.415;9.99;0.486;9.803;0.477;6.597;0.321;1.346;0.065;2662.128098;0.019;0.005;0.029;0.001;0.008;0.003;0.05;0.002;0;3.731023326;0.216;0.006;0;3.860033117;0.282;0.011;0.059;0;0.001;0.001;0;29.113;7.684
103;Malaysia;35977838;328550;110;79.7;76.934;61.7;60.7;22;94;256.04;80.4;76.1;26.7;80.4;52.3;29.5;3.5;11;6244;MYS;2022;34695494;8.77584E+11;11.247;0.324;285.448;12.295;4.501;345.617;13.106;3.941;9.961;0.394;0.26;8.227;0.325;0.214;85.389;2.461;267.009;6482.45;19185.852;1296.479;175.804;1945.233;13740.129;2797.926;39226.555;1.517;3.026;0.087;98.726;2.846;9.959;11.94;60.169;1.734;61.39;1.769;9.405;0.271;87.06;2.509;1331.279;0.702;0.765;0.846;0.562;0.571;0.365;0.742;0.158;0.907;0.742;1.684;0.454;0.751;1.251;1.699;0.731;0.657;0.002;0.008;0.011;0;414.272;345.534
104;Maldives;529676;300;1766;0;80.394;0;0;0;0;0;0;0;0;0;0;0;0;0;6298;MDV;2022;524116;5.28502E+11;0;0;2.018;0.047;2.394;2.018;0.047;2.394;3.851;0.937101354;1.084519033;3.851;0.389399806;0.230389568;305.6257623;1.48792303;0;28.934;28.936;17052.4864;0;4545.108843;0.008;28.934;24751.67803;1.767313535;0;0;177.0031629;1.832210367;4.316;4.318;0;0;0.199;0.38;0.046;0.088;2.018;3.851;2662.128098;0;0.005;0.005;3.077753354;0;0.002;0.001;3.313702;0;3.731023326;0;0.005;0;3.860033117;0;0.017;0.001;0;0;0;0;2.263;2.262
105;Mali;25198821;1220190;21;33.4;61.176;63.3;60.8;39;83;4.18;63;46.8;30.5;63;27;2;0.1;2;6352;MLI;2022;23072639;30551085056;0.697;0.03;6.988;0.102;1.488;39.187;-0.457;-1.153;1.698;1.283;1.084519033;0.303;0.229;0.230389568;305.6257623;1.48792303;4.526;86.296;1579.482;17052.4864;0;4545.108843;1934.066;81.77;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.553;2.916;32.198;1.396;31.3;1.357;15.393;0.667;6.291;0.273;2662.128098;0.044;0.019;0.096;3.077753354;0.01;0.005;0.061;3.313702;0;3.731023326;0.237;0.013;0;3.860033117;0.909;0.053;0.102;0.001;0;0.002;0;67.272;12.755
106;Malta;545405;320;1704;93;83.36;60.1;81.5;13;100;1.72;84.8;84;28.7;84.8;63.8;49;19.7;12;6406;MLT;2022;528194;18295134208;0;0;1.774;0.163;10.105;1.708;0.159;10.282;3.234;0.093;1.084519033;3.358;0.097;0.230389568;0;0;0;107.723;102.724;6.408;0;4.165;-5.168;97.112;24751.67803;1.767313535;0;0;0.747;1.415;3.628;3.688;-0.065;-0.124;0.18;0.34;0.046;0.087;1.026;1.942;2662.128098;0;0.005;0.004;0;0;0.006;0.004;0.001;0;0.002;-0.001;0.016;0;0.009;-0.002;0.009;0.003;0;0;0;0;1.948;1.916
