;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
20;Bolivia;12581843;1083300;12;64.2;72.798;69.5;59.2;26;87;13.56;72.5;39.4;50.5;72.5;36.4;9.9;1.5;10;1274;BOL;2022;12077155;78165311488;1.533;0.127;22.378;0.622;2.859;80.966;-0.272;-0.334;6.704;1.036;1.084519033;1.853;0.286;0.230389568;0.019;0.002;30.325;585.937;6896.358;2.935;49.161;171.582;7848.506;331.935;24751.67803;1.767313535;0.077;0.006;8.064;0.668;2.73;10.206;58.588;4.851;32.282;2.673;10.05;0.832;12.685;1.05;2662.128098;0.096;0.06;0.198;0;0.065;0.033;0.267;0;0.254;0.065;0.962;0.054;0.019;0.102;1.655;0.107;0.28;0.001;0.003;0.005;0;123.258;32.966
21;Bosnia and Herzegovina;3140095;51000;62;79.8;75;35.6;74.6;26;87;13.56;69.4;65.5;32.1;69.4;42.4;16.4;4.9;11;1328;BIH;2022;3204805;47069138944;0.42;0.131;20.963;-0.301;-1.414;19.907;-0.288;-1.424;6.212;0.423;1.084519033;6.541;0.445;0.230389568;15.162;4.731;12.214;1004.432;1241.989;793.699;0.33;25.108;623.586;173.081;24751.67803;1.767313535;0;0;0.508;0.159;7.979;8.7;-1.057;-0.33;5.478;1.709;1.155;0.361;4.873;1.521;2662.128098;0.026;0.056;0.049;0.1;0.026;0.057;0.048;0.097;0.002;0.01;0.076;0.028;0;0.006;-0.03;0.041;0.054;0;0.001;0.001;0;27.882;25.572
22;Botswana;2562122;566730;5;58.8;70.14;45.5;17;13;92;6.49;63.3;74.2;28.5;63.3;60.8;16.8;1.6;10;1382;BWA;2022;2439895;39293968384;0;0;6.596;0.587;9.761;6.255;0.729;13.196;2.564;0.159;1.084519033;2.703;0.168;0.230389568;3.738;1.532;0.237;166.751;270.075;94.167;0;0.004;269.193;72.343;24751.67803;1.767313535;0;0;0;0;3.632;11.378;-0.341;-0.14;8.872;3.636;6.32;2.59;2.857;1.171;2662.128098;0;0.018;0.015;0.025;0.001;0.009;0.01;0.011;0;0;0.033;0.012;0;0;-0.01;0.024;0.042;0;0;0.001;0;27.762;8.862
23;Brazil;212812405;8358140;25;69.9;76.962;50;31.6;11;87;488.89;80.6;79;33.3;80.6;50.1;15.5;3.8;8;1436;BRA;2022;210306411;3.18741E+12;23.845;0.113;483.841;-14.176;-2.847;1811.552;-168.04;-8.489;8.614;0.568;0.485;2.301;0.152;0.13;56.078;0.267;822.766;17240.523;137122.766;2606.082;472.677;1389.387;120116.398;11773.581;17333.797;1.171;17.505;0.083;60.085;0.286;3.453;11.595;1327.711;6.313;601.386;2.86;193.478;0.92;319.935;1.521;3732.201;1.489;1.297;4.436;0.369;1.758;0.972;5.303;0.318;2.438;0.53;14.723;1.911;4.344;0.761;37.495;2.686;5.036;0.025;0.055;0.083;0.003;2438.436;726.19
24;Brunei;466330;5270;88;56.8;75;58.7;69.1;7;100;10.48;63.2;69.2;30.2;63.2;53.1;74;4.8;9;1490;BRN;2022;455374;5.28502E+11;0;0;11.354;-0.358;-3.059;12.09;-0.373;-2.989;26.549;0.937101354;1.084519033;24.934;0.389399806;0.230389568;2.857;6.274;0;402.47;486.97;8.345;80.692;214.472;103.64;98.961;24751.67803;1.767313535;0.171;0.376;5.017;11.018;36.054;37.541;0.735;1.615;5.03;11.045;0.144;0.315;3.309;7.267;2662.128098;0;0.03;0.03;0.019;0;0.023;0.019;0.001;0.416;0.082;0.013;0.016;0.042;0.064;0.021;0.028;0.03;0;0;0;0;17.095;16.418
25;Bulgaria;6714560;108560;62;78.7;75.75;52.6;60.2;17;96;42.58;88.4;83.4;29.7;88.4;58.5;25.8;7;11;1544;BGR;2022;6825863;1.3839E+11;1.04;0.152;46.966;4.541;10.703;41.32;4.796;13.13;6.053;0.299;0.18;6.881;0.339;0.205;24.577;3.601;106.792;3925.368;4974.454;2195.213;11.005;348.379;1198.696;1231.879;33836.168;1.658;0.781;0.114;5.14;0.753;8.141;8.415;-5.646;-0.827;9.941;1.456;4.137;0.606;13.793;2.021;229.475;0.065;0.126;0.101;0.162;0.228;0.221;0.192;0.268;0.057;0.133;0.147;0.2;0.194;0.065;-0.159;0.116;0.159;0;0.002;0.003;0;57.44;55.567
26;Burkina Faso;24074580;273600;88;25.9;63.704;61.8;49.8;41;47;5.72;74.3;72.1;30.7;74.3;44.6;1.6;0.1;2;1598;BFA;2022;22509037;37320441856;1.178;0.052;6.374;0.085;1.346;29.19;0.217;0.75;1.297;0.782;1.084519033;0.283;0.171;0.230389568;305.6257623;1.48792303;8.706;82.529;1131.126;17052.4864;0;4545.108843;1238.55;73.819;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.649;2.563;22.816;1.014;24.205;1.075;10.022;0.445;5.196;0.231;2662.128098;0.074;0.017;0.071;3.077753354;0.019;0.005;0.044;3.313702;0;3.731023326;0.152;0.012;0;3.860033117;0.644;0.044;0.091;0.001;0.001;0.001;0;57.689;14.606
27;Burundi;14390003;25680;560;14.7;63.342;76.8;47.3;28;62;0.7;47.3;44.2;35.3;47.3;20;0;0;3;1652;BDI;2022;13321101;9177076736;0.003;0;0.707;-0.068;-8.778;5.476;-0.093;-1.663;0.411;0.597;1.084519033;0.053;0.077;0.230389568;0.048;0.004;0.008;14.704;331.65;0.792;0;4545.108843;514.219;13.904;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.352;0.715;4.768;0.358;5.203;0.391;1.683;0.126;0.656;0.049;2662.128098;0;0.002;0.013;0;0;0.001;0.013;0;0;3.731023326;0.063;0.002;0;3.860033117;0.135;0.006;0.027;0;0;0;0;9.52;4.689
28;Cabo Verde;527326;4030;131;66.8;73.916;45.9;40.4;31;89;0.66;60.5;70.1;30.9;60.5;72.9;7.2;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Cambodia;17847982;176520;101;58.9;70.932;79.2;48.9;18;29;19.02;65;40.6;49.1;65;18.7;5.1;0.6;5;1706;KHM;2022;17201717;65136594944;5.887;0.342;19.609;0.36;1.872;63.376;0.329;0.522;3.684;0.973;1.084519033;1.14;0.301;0.230389568;4.08;0.237;32.893;203.586;3275.871;30.155;0.024;4545.108843;4999.596;140.514;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.505;4.739;43.768;2.544;25.236;1.467;4.898;0.285;9.642;0.561;2662.128098;0.368;0.053;0.155;0.027;0.07;0.011;0.127;0.004;0;3.731023326;0.613;0.023;0;3.860033117;1.236;0.081;0.164;0.001;0.002;0.003;0;81.511;25.884
